epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1156.28,0.55324,0.80703,0.32761,0.34146,0.80768,1,0.99618,0.995,0.83471,1,0.99618,0.995,0.91221,0.59274,0.41766,0.22757,0.32733,0.78328,0.00109227,0.00109227,0.00109227
93,1168.69,0.56922,0.8605,0.32553,0.3505,0.81059,1,0.99839,0.995,0.83707,1,0.99839,0.995,0.8839,0.60481,0.46344,0.22853,0.3536,0.78286,0.0010823,0.0010823,0.0010823
94,1181.27,0.54894,0.78299,0.33271,0.34301,0.81269,0.99977,1,0.995,0.84224,0.84858,0.85,0.742,0.60911,0.56535,1.70157,0.24335,0.32227,0.78038,0.00107232,0.00107232,0.00107232
95,1193.88,0.54305,0.742,0.32443,0.33944,0.80885,1,0.99621,0.995,0.84561,0.89961,0.89629,0.84123,0.61334,0.56138,1.47527,0.24095,0.3226,0.77816,0.00106235,0.00106235,0.00106235
96,1206.31,0.55997,0.7809,0.3238,0.35031,0.81201,0.99517,0.95,0.99262,0.82933,0.99517,0.95,0.99262,0.88014,0.59637,0.5112,0.22965,0.33685,0.77658,0.00105238,0.00105238,0.00105238
97,1219.01,0.54125,0.77222,0.32099,0.33779,0.80581,1,0.99552,0.995,0.84536,0.89954,0.89562,0.86893,0.80212,0.55928,0.9949,0.23055,0.3122,0.78123,0.0010424,0.0010424,0.0010424
98,1231.46,0.53001,0.68279,0.31703,0.32427,0.80723,1,0.99742,0.995,0.85246,1,0.99742,0.995,0.89341,0.58065,0.48321,0.2279,0.30367,0.7827,0.00103243,0.00103243,0.00103243
99,1244.16,0.55307,0.83102,0.32395,0.33877,0.81031,1,0.99662,0.995,0.83355,1,0.99662,0.995,0.80184,0.59418,0.7321,0.22447,0.32406,0.78148,0.00102245,0.00102245,0.00102245
100,1255.76,0.53893,0.73707,0.31383,0.33338,0.80998,1,0.99865,0.995,0.85347,1,0.99865,0.995,0.93634,0.6183,0.40326,0.22245,0.30976,0.78445,0.00101248,0.00101248,0.00101248
101,1267.88,0.53172,0.77423,0.31909,0.34028,0.81589,0.99581,0.95,0.99262,0.84697,0.61388,0.63644,0.47311,0.34633,0.54554,3.46345,0.24711,0.29078,0.7795,0.0010025,0.0010025,0.0010025
102,1280.51,0.52088,0.73923,0.30835,0.32988,0.81072,0.95195,0.99096,0.99262,0.84896,0.9039,0.94096,0.92081,0.69784,0.52887,1.18108,0.22447,0.3091,0.77851,0.000992525,0.000992525,0.000992525
